Id Categoria;Modalitat;Nom;Descripció;Nom Abreviat;Ordre;CodiExtern
1038;PASSI ATLETISME CEM MAR BELLA;TÈCNIC;Tècnic dels Jocs Esportius del Ceeb (JEC). Persona de màxima responsabilitat de l’equip o grup d’esportistes que participen als JEC en una modalitat esportiva. Titulacions requerides: Estar inscrit a ROPEC com a monitor esportiu + Càpsula Esportiva Especifica (TEE). /o/ Estar inscrit a ROPEC com a Entrenador de la modalitat Esportiva.;;;TEC
1039;PASSI ATLETISME CEM MAR BELLA;DELEGAT;Delegat d’equip/grup, persona responsable del bon comportament i del joc net dels esportistes i acompanyants. Titulacions requerides: Titulació vàlida del personal responsable de vetllar pels valors als JEC i realitzar les tasques administratives. Recomanable que aquest col·lectiu també tinguin formació reconeguda com a Tutor Esportiu.;;;
1040;PASSI ATLETISME CEM MAR BELLA;DELEGAT DE CAMP;Delegat de camp o pista, persona responsable de vetllar pel bon funcionament de totes les fases del joc. Volem que esdevingui un nexe d’unió entre els dos equips, les famílies i l’entitat. Ha de ser una figura de referència per al CEEB, per les entitats i per l’equip al qual representa.;;1;
1041;PASSI ATLETISME CEM MAR BELLA;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
1042;ULTIMATE FRISBEE;TÈCNIC;Tècnic dels Jocs Esportius del Ceeb (JEC). Persona de màxima responsabilitat de l’equip o grup d’esportistes que participen als JEC en una modalitat esportiva. Titulacions requerides: Estar inscrit a ROPEC com a monitor esportiu + Càpsula Esportiva Especifica (TEE). /o/ Estar inscrit a ROPEC com a Entrenador de la modalitat Esportiva.;;;TEC
1043;ULTIMATE FRISBEE;DELEGAT;Delegat d’equip/grup, persona responsable del bon comportament i del joc net dels esportistes i acompanyants. Titulacions requerides: Titulació vàlida del personal responsable de vetllar pels valors als JEC i realitzar les tasques administratives. Recomanable que aquest col·lectiu també tinguin formació reconeguda com a Tutor Esportiu.;;;
1045;ULTIMATE FRISBEE;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
1050;TORNEIG INTERCENTRES;TÈCNIC;Tècnic dels Jocs Esportius del Ceeb (JEC). Persona de màxima responsabilitat de l’equip o grup d’esportistes que participen als JEC en una modalitat esportiva. Titulacions requerides: Estar inscrit a ROPEC com a monitor esportiu + Càpsula Esportiva Especifica (TEE). /o/ Estar inscrit a ROPEC com a Entrenador de la modalitat Esportiva.;;;TEC
1051;TORNEIG INTERCENTRES;DELEGAT;Delegat d’equip/grup, persona responsable del bon comportament i del joc net dels esportistes i acompanyants. Titulacions requerides: Titulació vàlida del personal responsable de vetllar pels valors als JEC i realitzar les tasques administratives. Recomanable que aquest col·lectiu també tinguin formació reconeguda com a Tutor Esportiu.;;;
1052;TORNEIG INTERCENTRES;DELEGAT DE CAMP;Delegat de camp o pista, persona responsable de vetllar pel bon funcionament de totes les fases del joc. Volem que esdevingui un nexe d’unió entre els dos equips, les famílies i l’entitat. Ha de ser una figura de referència per al CEEB, per les entitats i per l’equip al qual representa.;;1;
1053;TORNEIG INTERCENTRES;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
1058;SHOW PATINATGE ARTÍSTIC;TÈCNIC;Tècnic dels Jocs Esportius del Ceeb (JEC). Persona de màxima responsabilitat de l’equip o grup d’esportistes que participen als JEC en una modalitat esportiva. Titulacions requerides: Estar inscrit a ROPEC com a monitor esportiu + Càpsula Esportiva Especifica (TEE). /o/ Estar inscrit a ROPEC com a Entrenador de la modalitat Esportiva.;;;TEC
1059;SHOW PATINATGE ARTÍSTIC;DELEGAT;Delegat d’equip/grup, persona responsable del bon comportament i del joc net dels esportistes i acompanyants. Titulacions requerides: Titulació vàlida del personal responsable de vetllar pels valors als JEC i realitzar les tasques administratives. Recomanable que aquest col·lectiu també tinguin formació reconeguda com a Tutor Esportiu.;;;
1060;SHOW PATINATGE ARTÍSTIC;DELEGAT DE CAMP;Delegat de camp o pista, persona responsable de vetllar pel bon funcionament de totes les fases del joc. Volem que esdevingui un nexe d’unió entre els dos equips, les famílies i l’entitat. Ha de ser una figura de referència per al CEEB, per les entitats i per l’equip al qual representa.;;1;
1061;SHOW PATINATGE ARTÍSTIC;AUXILIAR;Auxiliar de les activitats dels JEC. Persona que acompanya a l’equip o grup d’esportistes que participen als JEC, donant suport al tècnic esportiu. Titulacions requerides: Certificat de CIATE o Diploma del Ceeb de Tutor Esportiu Escolar d’una modalitat esportiva. Titulació vàlida del personal tècnic voluntari per a la realització d’activitats esportives en l’àmbit extraescolar.;;3;
1062;TROBADA DE NATACIÓ ARTÍSTICA;DELEGAT/DA;Delegat d’equip/grup, persona responsable del bon comportament i del joc net dels esportistes i acompanyants. Titulacions requerides: Titulació vàlida del personal responsable de vetllar pels valors als JEC i realitzar les tasques administratives. Recomanable que aquest col·lectiu també tinguin formació reconeguda com a Tutor Esportiu.;;;
